lat_deg,lon_deg,dose_pred_uSvph
30.0,0.0,1.248824
30.0,10.0,1.233589
30.0,20.0,1.2317321
30.0,30.0,1.2194903
30.0,40.0,1.2207698
30.0,50.0,1.1893121
30.0,60.0,1.1545091
30.0,70.0,1.1258253
30.0,80.0,1.1148529
30.0,90.0,1.1055368
30.0,100.0,1.1001918
30.0,110.0,1.0900139
30.0,120.0,1.0931077
30.0,130.0,1.1052569
30.0,140.0,1.1181664
30.0,150.0,1.1407948
30.0,160.0,1.1801566
30.0,170.0,1.2029821
35.0,-179.99999,1.4402153
35.0,-170.0,1.493758
35.0,-160.0,1.5885091
35.0,-150.0,1.6721318
35.0,-140.0,1.8014535
35.0,-130.0,1.9331939
35.0,-120.0,2.0434709
35.0,-110.0,2.1721895
35.0,-100.0,2.2826877
35.0,-90.0,2.333656
35.0,-80.0,2.3378966
35.0,-70.0,2.2991812
35.0,-60.0,2.1599956
35.0,-50.0,1.9626323
35.0,-40.0,1.7618861
35.0,-30.0,1.592556
35.0,-20.0,1.4866306
35.0,-10.0,1.4602922
35.0,0.0,1.436538
35.0,10.0,1.4187433
35.0,20.0,1.4270356
35.0,30.0,1.4007182
35.0,40.0,1.3799303
35.0,50.0,1.3635688
35.0,60.0,1.3360995
35.0,70.0,1.3011887
35.0,80.0,1.2734476
35.0,90.0,1.2755026
35.0,100.0,1.2757024
35.0,110.0,1.260274
35.0,120.0,1.253984
35.0,130.0,1.2320969
35.0,140.0,1.2286515
35.0,150.0,1.2616087
35.0,160.0,1.3033836
35.0,170.0,1.3797127
40.0,-179.99999,1.6730902
40.0,-170.0,1.7638897
40.0,-160.0,1.8666592
40.0,-150.0,1.9687241
40.0,-140.0,2.0643475
40.0,-130.0,2.1997733
40.0,-120.0,2.2827907
40.0,-110.0,2.3689456
40.0,-100.0,2.4645796
40.0,-90.0,2.502679
40.0,-80.0,2.5071347
40.0,-70.0,2.4677227
40.0,-60.0,2.3804798
40.0,-50.0,2.2602525
40.0,-40.0,2.0871687
40.0,-30.0,1.9348636
40.0,-20.0,1.8267859
40.0,-10.0,1.7523265
40.0,0.0,1.6880674
40.0,10.0,1.703063
40.0,20.0,1.6968518
40.0,30.0,1.7065722
40.0,40.0,1.7014481
40.0,50.0,1.682877
40.0,60.0,1.6514972
40.0,70.0,1.6133573
40.0,80.0,1.5908983
40.0,90.0,1.5656418
40.0,100.0,1.545651
40.0,110.0,1.5242463
40.0,120.0,1.4976007
40.0,130.0,1.4772618
40.0,140.0,1.4386598
40.0,150.0,1.4600034
40.0,160.0,1.5152496
40.0,170.0,1.5939956
45.0,-179.99999,1.9433444
45.0,-170.0,2.052468
45.0,-160.0,2.1093116
45.0,-150.0,2.2135608
45.0,-140.0,2.3204408
45.0,-130.0,2.4104176
45.0,-120.0,2.4754074
45.0,-110.0,2.5405104
45.0,-100.0,2.5742102
45.0,-90.0,2.5693758
45.0,-80.0,2.584353
45.0,-70.0,2.5610375
45.0,-60.0,2.5453155
45.0,-50.0,2.4566498
45.0,-40.0,2.3544028
45.0,-30.0,2.2327373
45.0,-20.0,2.1772556
45.0,-10.0,2.0905037
45.0,0.0,2.0567884
45.0,10.0,2.0453715
45.0,20.0,2.0368133
45.0,30.0,2.01302
45.0,40.0,2.008411
45.0,50.0,1.9968688
